DATE,GDP growth (year-over-year),Term Spread,Predicted GDP growth,"Incomplete quarterly average, 07/01/2019 to 08/23/2019"
03-01-2002,1.41,3.32,,
06-01-2002,1.43,3.35,,
09-01-2002,2.23,2.59,,
12-01-2002,2.03,2.65,,
03-01-2003,1.59,2.74,,
06-01-2003,1.99,2.56,,
09-01-2003,3.22,3.28,,
12-01-2003,4.34,3.35,,
03-01-2004,4.44,3.09,,
06-01-2004,4.25,3.5,,
09-01-2004,3.42,2.79,,
12-01-2004,3.12,2.13,,
03-01-2005,3.63,1.71,,
06-01-2005,3.4,1.23,,
09-01-2005,3.34,0.78,,
12-01-2005,3.04,0.58,,
03-01-2006,3.16,0.07,,
06-01-2006,2.92,0.24,,
09-01-2006,2.18,-0.14,,
12-01-2006,2.41,-0.4,,
03-01-2007,1.25,-0.44,,
06-01-2007,1.71,-0.03,,
09-01-2007,2.31,0.31,,
12-01-2007,1.89,0.79,,
03-01-2008,1.14,1.57,,
06-01-2008,0.86,2.23,,
09-01-2008,-0.31,2.34,,
12-01-2008,-2.81,2.95,,
03-01-2009,-3.51,2.52,,
06-01-2009,-4.06,3.14,,
09-01-2009,-3.28,3.36,,
12-01-2009,-0.24,3.4,,
03-01-2010,1.6,3.61,,
06-01-2010,2.72,3.34,,
09-01-2010,3.08,2.63,,
12-01-2010,2.73,2.73,,
03-01-2011,1.89,3.33,,
06-01-2011,1.65,3.16,,
09-01-2011,1.18,2.4,,
12-01-2011,1.68,2.03,,
03-01-2012,2.75,1.97,,
06-01-2012,2.49,1.74,,
09-01-2012,2.39,1.54,,
12-01-2012,1.28,1.62,,
03-01-2013,1.31,1.86,,
06-01-2013,1.26,1.95,,
09-01-2013,1.92,2.68,,
12-01-2013,2.61,2.68,,
03-01-2014,1.46,2.72,,
06-01-2014,2.67,2.59,,
09-01-2014,3.12,2.47,,
12-01-2014,2.88,2.26,,
03-01-2015,3.98,1.94,,
06-01-2015,3.35,2.15,,
09-01-2015,2.44,2.18,,
12-01-2015,1.9,2.06,,
03-01-2016,1.62,1.63,,
06-01-2016,1.34,1.49,,
09-01-2016,1.56,1.27,,
12-01-2016,2.03,1.7,,
03-01-2017,2.1,1.84,,
06-01-2017,2.16,1.36,,
09-01-2017,2.42,1.19,,
12-01-2017,2.8,1.14,,
03-01-2018,2.86,1.18,,
06-01-2018,3.2,1.04,,
09-01-2018,3.13,0.85,,
12-01-2018,2.52,0.68,,
03-01-2019,2.65,0.22,,
06-01-2019,2.28,-0.02,2.28,
09-01-2019,,,2.34,-0.19
12-01-2019,,,2.31,
03-01-2020,,,2.23,
06-01-2020,,,2.18,
09-01-2020,,,2.15,